clean_message,sentiment
lol,positive
lul lul lul lul lul lul,neutral
two poggers,positive
lul,positive
college early 20s,negative
monkaw not me,positive
poor guy having to explain it lulw,positive
bwade95200 well it happen sometimes,neutral
kekw,positive
sadge,negative
hes sasuke,negative
catch the moment of sleep,neutral
sadge,negative
pepelaugh looking at chat,positive
feelstrongman,positive
woah,positive
adidas ez,positive
loooool,negative
s,neutral
he started stream saying its dominic but call me dom,negative
hamood,neutral
forget all my problems im a mc in dnd,negative
kekw,positive
lulw,positive
clownface society,negative
pain,negative
true,negative
moist,positive
justin weeber chad,negative
right,negative
nba prodigy lul,positive
ive done that,negative
12 pounds,positive
its 10 30,negative
lulw,negative
train,neutral
feelsstrongman,positive
he said what,neutral
i came for mental health advice now i have a booner thanks dr k,positive
residentsleeper,negative
idk but i feel similar,positive
im all seriousness im going to work out and find hiking shoes to go on a hike this weekend,neutral
pogchamp,positive
pog,positive
computer use huh,negative
feelsstrongman,negative
3 3,neutral
smash it,negative
southpark already did it,positive
for chat 3,neutral
oh,neutral
i eat healthy  i drink milk,negative
sadge,negative
garona pog,positive
thanks,negative
pog,positive
how old is he chat,negative
his dad is white  wow what a story,neutral
who,positive
lulw,negative
sadge i lost weight,negative
3,positive
,positive
man we put a lot of pressure on ourselves these days,neutral
he sounds mormon,positive
deep,positive
kekw,negative
,positive
you got this dom,positive
ayaya,positive
sadge im normal,negative
good guy dad feelsstrongman,neutral
feelsstrongman,neutral
create a cult yep,positive
why do feel sad pepehands,positive
postnut is real though lul,neutral
frowningfacewithopenmouth  frowningfacewithopenmouth  frowningfacewithopenmouth,positive
its a trigger,positive
so in order to reach what we think of an end goalcareer we need to stop focusing on that and focus on the present and well naturally get there,neutral
nani,neutral
true,neutral
monkaw,positive
yep,positive
thanks for joining the steam awesome stream today,positive
sadge,negative
virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug,positive
its just shame,neutral
poggers,positive
russel,positive
aooooe,negative
sadge,negative
thats my thinking 5head,negative
